ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2471795,HH802825,11/20/2002 05:00:00 PM,094XX S ST LAWRENCE AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,false,false,0633,006,9,49,06,,,2002,08/17/2015 03:03:40 PM,,,
2470502,HH801680,11/25/2002 04:30:00 PM,042XX W WILCOX ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1115,011,28,26,07,,,2002,08/17/2015 03:03:40 PM,,,
2470539,HH801866,11/25/2002 12:30:00 PM,002XX N MICHIGAN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0122,001,42,32,07,,,2002,08/17/2015 03:03:40 PM,,,
2470637,HH801199,11/25/2002 02:10:00 PM,054XX S MOBILE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,0811,008,23,56,03,,,2002,08/17/2015 03:03:40 PM,,,
2470747,HH795421,11/22/2002 02:20:00 PM,034XX W WILSON AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,"SCHOOL, PUBLIC, BUILDING",true,false,1723,017,33,14,04B,,,2002,08/17/2015 03:03:40 PM,,,
2470860,HH802420,11/25/2002 05:00:00 PM,048XX W ROOSEVELT RD,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",OTHER,false,false,1533,015,24,25,07,,,2002,08/17/2015 03:03:40 PM,,,
2489010,HH826679,11/30/2002 09:00:00 PM,023XX S LAKE SHORE DR E,0890,THEFT,FROM BUILDING,OTHER,false,false,0133,001,2,33,06,,,2002,08/17/2015 03:03:40 PM,,,
2471588,HH802528,11/26/2002 08:40:00 AM,113XX S STEWART AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2233,022,34,49,07,,,2002,08/17/2015 03:03:40 PM,,,
2471614,HH800668,11/23/2002 01:00:00 PM,0000X N HAMLIN BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,1122,011,28,26,06,,,2002,08/17/2015 03:03:40 PM,,,
2471805,HH802910,11/25/2002 02:30:00 PM,047XX S DR MARTIN LUTHER KING JR DR,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0223,002,3,38,26,,,2002,08/17/2015 03:03:40 PM,,,
2471870,HH788753,11/19/2002 11:12:39 AM,038XX W VAN BUREN ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1133,011,24,26,18,,,2002,08/17/2015 03:03:40 PM,,,
2472175,HH803430,11/24/2002 10:35:00 PM,059XX S CALUMET AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,false,0234,002,20,40,26,,,2002,08/17/2015 03:03:40 PM,,,
2472901,HH802075,11/25/2002 07:55:00 PM,032XX N LOCKWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1634,016,38,15,07,,,2002,08/17/2015 03:03:40 PM,,,
2473330,HH805018,11/26/2002 09:00:00 PM,088XX S COTTAGE GROVE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0632,006,6,44,07,,,2002,08/17/2015 03:03:40 PM,,,
2473374,HH795915,11/20/2002 06:30:00 PM,043XX W FULLERTON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2522,025,31,20,08B,,,2002,08/17/2015 03:03:40 PM,,,
2473592,HH804368,11/27/2002 12:12:00 AM,053XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,false,true,1522,015,28,25,08B,,,2002,08/17/2015 03:03:40 PM,,,
2473742,HH806394,11/27/2002 07:30:00 PM,0000X W WALTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1832,018,42,8,14,,,2002,08/17/2015 03:03:40 PM,,,
2473971,HH806767,11/27/2002 05:00:00 PM,011XX N HARDING AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,true,false,1112,011,27,23,07,,,2002,08/17/2015 03:03:40 PM,,,
2474062,HH806540,11/27/2002 02:30:00 PM,012XX W 19TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1222,012,25,31,04B,,,2002,08/17/2015 03:03:40 PM,,,
2474131,HH802993,11/21/2002 03:30:00 PM,043XX W OGDEN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,false,false,1013,010,22,29,07,,,2002,08/17/2015 03:03:40 PM,,,
2474179,HH804839,11/27/2002 09:30:00 AM,012XX W MONTANA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1933,019,32,7,07,,,2002,08/17/2015 03:03:40 PM,,,
2474272,HH804077,11/25/2002 08:00:00 PM,035XX N NATCHEZ AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1632,016,36,17,07,,,2002,08/17/2015 03:03:40 PM,,,
2474514,HH806936,11/27/2002 09:00:00 PM,040XX W WELLINGTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2523,025,31,21,07,,,2002,08/17/2015 03:03:40 PM,,,
2474790,HH807863,11/28/2002 09:00:00 PM,040XX S LAKE PARK AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,2123,002,4,36,26,,,2002,08/17/2015 03:03:40 PM,,,
2475090,HH806559,11/28/2002 01:10:00 AM,054XX S CORNELL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2132,002,5,41,07,,,2002,08/17/2015 03:03:40 PM,,,
2475268,HH808069,11/29/2002 02:00:00 AM,099XX S VINCENNES AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,GAS STATION,false,false,2213,022,21,73,26,,,2002,08/17/2015 03:03:40 PM,,,
2475443,HH805814,11/27/2002 05:13:30 PM,014XX W MADISON ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,OTHER,false,false,1211,012,2,28,26,,,2002,08/17/2015 03:03:40 PM,,,
2475774,HH802164,11/25/2002 10:38:26 PM,034XX W 26TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1032,010,22,30,18,,,2002,08/17/2015 03:03:40 PM,,,
2475861,HH808694,11/29/2002 10:00:00 AM,012XX S HOYNE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1224,012,2,28,07,,,2002,08/17/2015 03:03:40 PM,,,
2475967,HH806872,11/28/2002 08:30:00 AM,060XX W DICKENS AVE,0560,ASSAULT,SIMPLE,STREET,false,false,2512,025,29,19,08A,,,2002,08/17/2015 03:03:40 PM,,,
2476027,HH809318,11/29/2002 06:00:00 PM,013XX N BOSWORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1433,014,1,24,07,,,2002,08/17/2015 03:03:40 PM,,,
